datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,CE,CE,9386.929,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,DAY,DAY,1756.712,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,DEOK,DEOK,2583.750,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,SERC,SOUTH,DOM,DOM,13327.077,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,DPL,DPLCO,1660.738,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,DUQ,DUQ,1233.793,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,DPL,EASTON,21.745,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,SERC,WEST,EKPC,EKPC,1170.771,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,JC,JC,1972.611,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,ME,ME,1503.020,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,ATSI,OE,6340.699,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,OVEC,OVEC,31.000,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,ATSI,PAPWR,500.882,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,PE,PE,3617.355,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2395.959,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,PL,PLCO,3830.587,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,PN,PN,1756.608,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,PS,PS,4067.265,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,RECO,RECO,129.634,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,PEP,SMECO,300.978,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,PL,UGI,88.285,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,AE,VMEU,79.658,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RTO,RTO,RTO,RTO,80651.781,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,AE,AECO,915.216,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPAPT,3723.382,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPIMP,3317.942,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPKPT,518.784,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,AEP,AEPOPT,7497.033,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,AP,AP,4811.206,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,BC,BC,2868.841,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,CE,CE,10178.295,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,DAY,DAY,1855.949,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,DEOK,DEOK,2685.053,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,SERC,SOUTH,DOM,DOM,13736.599,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,DPL,DPLCO,1697.682,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,WEST,DUQ,DUQ,1274.432,False
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,DPL,EASTON,23.457,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,SERC,WEST,EKPC,EKPC,1192.724,True
10/1/2025 11:00:00 AM,10/1/2025 7:00:00 AM,RFC,MIDATL,JC,JC,2053.124,True
